"","table"
"2007-01-16",10.8821954727173
"2007-02-15",10.9464311599731
"2007-03-16",10.9094667434692
"2007-04-16",10.8841915130615
"2007-05-16",10.8511734008789
"2007-06-16",10.8019876480103
"2007-07-16",10.7268085479736
"2007-08-16",10.5616750717163
"2007-09-16",10.4635524749756
"2007-10-16",10.3653583526611
"2007-11-16",10.3744049072266
"2007-12-16",10.21217918396
"2008-01-16",10.9105577468872
"2008-02-15",11.0303640365601
"2008-03-16",11.0976228713989
"2008-04-16",11.1525907516479
"2008-05-16",11.1723766326904
"2008-06-16",11.077766418457
"2008-07-16",11.1169567108154
"2008-08-16",11.1671886444092
"2008-09-16",11.1864337921143
"2008-10-16",11.2270526885986
"2008-11-16",11.2026634216309
"2008-12-16",11.1511192321777
"2009-01-16",11.9507236480713
"2009-02-15",11.9423246383667
"2009-03-16",12.1696100234985
"2009-04-16",12.3094329833984
"2009-05-16",12.3935518264771
"2009-06-16",12.5968561172485
"2009-07-16",12.5606451034546
"2009-08-16",12.5218715667725
"2009-09-16",12.4698657989502
"2009-10-16",12.5097923278809
"2009-11-16",12.3440551757812
"2009-12-16",12.2789068222046
"2010-01-16",12.8038845062256
"2010-02-15",12.6421480178833
"2010-03-16",12.5200977325439
"2010-04-16",12.4791431427002
"2010-05-16",12.4006996154785
"2010-06-16",12.4229955673218
"2010-07-16",12.3353643417358
"2010-08-16",12.2541637420654
"2010-09-16",12.2093057632446
"2010-10-16",12.257303237915
"2010-11-16",12.1501340866089
"2010-12-16",12.1002044677734
"2011-01-16",12.8783645629883
"2011-02-15",13.0292987823486
"2011-03-16",13.053900718689
"2011-04-16",12.9832000732422
"2011-05-16",12.989842414856
"2011-06-16",12.933970451355
"2011-07-16",12.8355016708374
"2011-08-16",12.8368501663208
"2011-09-16",12.8526363372803
"2011-10-16",12.9746503829956
"2011-11-16",13.0450325012207
"2011-12-16",12.8359985351562
"2012-01-16",13.7663440704346
"2012-02-15",14.0821475982666
"2012-03-16",14.1088237762451
"2012-04-16",13.9749431610107
"2012-05-16",13.9988794326782
"2012-06-16",13.9483108520508
"2012-07-16",14.0589818954468
"2012-08-16",14.2012176513672
"2012-09-16",14.1900253295898
"2012-10-16",14.1838350296021
"2012-11-16",14.1765098571777
"2012-12-16",14.3073568344116
"2013-01-16",14.9070453643799
"2013-02-15",15.0429916381836
"2013-03-16",15.074049949646
"2013-04-16",15.1834354400635
"2013-05-16",15.1882343292236
"2013-06-16",15.0597267150879
"2013-07-16",15.2351922988892
"2013-08-16",15.3974885940552
"2013-09-16",15.4116611480713
"2013-10-16",15.3879461288452
"2013-11-16",15.3656330108643
"2013-12-16",15.3911037445068
"2014-01-16",16.0645790100098
"2014-02-15",16.0455722808838
"2014-03-16",15.9149913787842
"2014-04-16",15.9469003677368
"2014-05-16",15.9274864196777
"2014-06-16",15.9145030975342
"2014-07-16",15.9239482879639
"2014-08-16",16.1003093719482
"2014-09-16",16.2583656311035
"2014-10-16",16.2814598083496
"2014-11-16",16.263988494873
"2014-12-16",16.2301998138428
"2015-01-16",17.0325698852539
"2015-02-15",17.1403865814209
"2015-03-16",17.0593795776367
"2015-04-16",17.1145782470703
"2015-05-16",16.924072265625
"2015-06-16",16.8767318725586
"2015-07-16",16.9546585083008
"2015-08-16",17.0514698028564
"2015-09-16",17.2371978759766
"2015-10-16",17.249683380127
"2015-11-16",17.2409744262695
"2015-12-16",17.1792850494385
"2016-01-16",17.8908061981201
"2016-02-15",17.6504402160645
"2016-03-16",17.4119453430176
"2016-04-16",17.2955875396729
"2016-05-16",17.2893180847168
"2016-06-16",17.452730178833
"2016-07-16",17.650562286377
"2016-08-16",17.7872657775879
"2016-09-16",17.7520904541016
"2016-10-16",17.8023948669434
"2016-11-16",17.6737823486328
"2016-12-16",17.8256130218506
"2017-01-16",18.6692581176758
"2017-02-15",18.7291126251221
"2017-03-16",18.8779983520508
"2017-04-16",18.8923835754395
"2017-05-16",18.7609062194824
"2017-06-16",18.7214050292969
"2017-07-16",18.6778163909912
"2017-08-16",18.5050735473633
"2017-09-16",18.3248634338379
"2017-10-16",18.1399688720703
"2017-11-16",18.2380218505859
"2017-12-16",18.2180671691895
